season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2022,52125,가르시아,,679,True,47.717231,49.766863,43.963894,6.4748,55.910039,324,3.652213,355,9.050908,355,5.135301,324,7.942462,188,7.459995,12.106748,-6.884327,291,2.178008,-0.245305,5.096999,151,10.447125,-21.601635,16.205887,49,15.971307,,15.971307,123.69,124.495,118.334
2022,64906,강민국,,15,False,33.333333,36.257569,2.720729,18.13819,85.438007,5,1.854952,10,26.27981,6,6.294858,9,26.033745,1,10.230535,10.230535,,7,1.11248,-0.238944,2.914378,4,46.617131,,46.617131,3,22.528813,,22.528813,310.606,152.11,279.069
2022,74540,강민호,,1600,True,42.1875,44.448306,93.665778,5.854111,56.067131,675,2.3775,925,8.391097,744,4.08937,856,7.387952,419,5.974645,10.871935,-4.216039,625,1.578939,-0.486143,3.54722,382,8.135121,-15.245615,14.037798,174,15.912346,-14.975904,17.795776,113.743,99.587,113.407
2022,68050,강백호,,1084,True,42.343173,45.077635,41.754111,3.851855,39.621969,459,0.528402,625,6.292599,512,3.239814,572,4.399697,264,5.5129,11.280678,-4.580711,463,0.689832,-1.516718,2.687532,234,5.70285,-15.852131,12.806195,123,8.667857,-30.731992,13.324203,81.655,79.355,86.858
2022,63123,강승호,,1660,True,48.614458,45.175565,73.161538,4.407322,50.995447,807,1.522465,853,7.136605,828,3.580141,832,5.230525,463,5.310355,8.581533,-3.438749,704,0.95227,-1.463854,3.80225,339,6.531892,-12.728906,11.910379,154,12.810065,-10.911984,15.369999,90.557,87.46,94.239
2022,62925,강진성,,373,True,43.699732,43.649799,16.649671,4.463719,40.00805,163,-0.457267,210,8.283341,167,3.24855,206,5.448831,90,5.183736,11.080251,-5.503697,156,0.054012,-3.074766,3.264056,89,5.850156,-17.295844,14.396372,38,17.61424,-29.59115,20.236762,91.461,79.563,96.179
2022,65514,강태율,,139,False,52.517986,52.187952,5.020321,3.611742,37.326716,73,2.070264,66,5.31671,81,3.641184,58,3.570625,45,4.329456,9.242583,-6.549612,63,1.706682,-0.554326,4.92427,22,3.57083,-22.976148,11.378765,9,13.4586,,13.4586,77.807,88.914,79.492
2022,64610,강한울,,963,True,44.652129,46.506326,44.128394,4.582388,43.736264,430,1.384405,533,7.162374,474,3.905953,489,5.238073,249,5.497117,11.571319,-5.049301,398,1.084219,0.113147,2.075008,207,6.970271,-16.386188,15.213727,109,10.731121,-21.815467,16.745164,93.362,95.219,94.306
2022,51269,강현구,,19,False,31.578947,44.718591,1.086574,5.718811,72.848276,6,5.995286,13,5.591207,10,1.866888,9,9.998726,5,4.84274,11.082573,-4.51701,8,1.548847,0.908,1.933355,4,7.344682,,7.344682,2,21.337103,,21.337103,111.575,46.66,136.603
2022,69517,고승민,,976,True,42.827869,46.298827,52.321376,5.360797,56.355898,418,2.189593,558,7.736358,488,3.460891,488,7.260703,265,4.514735,8.693056,-4.647366,417,2.306637,-0.059382,4.384896,200,8.444361,-15.799718,14.131243,94,14.733971,-18.305872,15.823196,105.837,84.62,112.277
