disengagement_rate_rank,team,disengagements_made,defensive_runner_pitches,disengagements_per_100_runner_pitches,disengagements_received,offensive_runner_pitches,received_disengagements_per_100_runner_pitches,received_disengagement_rate_rank
1,삼성,952,8412,11.317,715,9595,7.452,6
2,KIA,906,8499,10.66,632,8539,7.401,7
3,두산,788,8784,8.971,829,8904,9.31,2
4,KT,716,8417,8.507,657,9731,6.752,9
5,롯데,702,9098,7.716,654,8254,7.923,5
6,NC,613,8641,7.094,948,8633,10.981,1
7,SSG,656,9661,6.79,783,9125,8.581,4
8,LG,609,9160,6.648,772,8945,8.631,3
9,키움,627,9986,6.279,476,8942,5.323,10
10,한화,579,9392,6.165,682,9382,7.269,8
